"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Compravendes","Nombre"
"2019","2","6","Gràcia","31","la Vila de Gràcia","Habitatge nou lliure",6
"2019","2","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova","Habitatge nou lliure",0
"2019","2","7","Horta-Guinardó","33","el Baix Guinardó","Habitatge nou lliure",0
"2019","2","7","Horta-Guinardó","34","Can Baró","Habitatge nou lliure",0
"2019","2","7","Horta-Guinardó","35","el Guinardó","Habitatge nou lliure",3
"2019","2","7","Horta-Guinardó","36","la Font d'en Fargues","Habitatge nou lliure",1
"2019","2","7","Horta-Guinardó","37","el Carmel","Habitatge nou lliure",26
"2019","2","7","Horta-Guinardó","38","la Teixonera","Habitatge nou lliure",6
"2019","2","7","Horta-Guinardó","39","Sant Genís dels Agudells","Habitatge nou lliure",7
"2019","2","7","Horta-Guinardó","40","Montbau","Habitatge nou lliure",3
"2019","2","7","Horta-Guinardó","41","la Vall d'Hebron","Habitatge nou lliure",4
"2019","2","7","Horta-Guinardó","42","la Clota","Habitatge nou lliure",0
"2019","2","7","Horta-Guinardó","43","Horta","Habitatge nou lliure",9
"2019","2","8","Nou Barris","44","Vilapicina i la Torre Llobeta","Habitatge nou lliure",0
"2019","2","8","Nou Barris","45","Porta","Habitatge nou lliure",0
"2019","2","8","Nou Barris","46","el Turó de la Peira","Habitatge nou lliure",0
"2019","2","8","Nou Barris","47","Can Peguera","Habitatge nou lliure",0
"2019","2","8","Nou Barris","48","la Guineueta","Habitatge nou lliure",1
"2019","2","8","Nou Barris","49","Canyelles","Habitatge nou lliure",0
"2019","2","8","Nou Barris","50","les Roquetes","Habitatge nou lliure",0
"2019","2","8","Nou Barris","51","Verdun","Habitatge nou lliure",0
"2019","2","8","Nou Barris","52","la Prosperitat","Habitatge nou lliure",0
"2019","2","8","Nou Barris","53","la Trinitat Nova","Habitatge nou lliure",0
"2019","2","8","Nou Barris","54","Torre Baró","Habitatge nou lliure",0
