"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor","Estat"
"2019","2","8","Nou Barris","49","Canyelles",2493,"Usat"
"2019","2","8","Nou Barris","50","les Roquetes",2351,"Usat"
"2019","2","8","Nou Barris","51","Verdun",2200,"Usat"
"2019","2","8","Nou Barris","52","la Prosperitat",1954,"Usat"
"2019","2","8","Nou Barris","53","la Trinitat Nova",1847,"Usat"
"2019","2","8","Nou Barris","55","Ciutat Meridiana",1584,"Usat"
"2019","2","8","Nou Barris","56","Vallbona",1152,"Usat"
"2019","2","9","Sant Andreu","57","la Trinitat Vella",3265,"Usat"
"2019","2","9","Sant Andreu","59","el Bon Pastor",2070,"Usat"
"2019","2","9","Sant Andreu","60","Sant Andreu",3039,"Usat"
"2019","2","9","Sant Andreu","61","la Sagrera",3854,"Usat"
"2019","2","9","Sant Andreu","62","el Congrés i els Indians",2804,"Usat"
"2019","2","9","Sant Andreu","63","Navas",4168,"Usat"
"2019","2","10","Sant Martí","64","el Camp de l'Arpa del Clot",4091,"Usat"
"2019","2","10","Sant Martí","65","el Clot",4389,"Usat"
"2019","2","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",4040,"Usat"
"2019","2","10","Sant Martí","67","la Vila Olímpica del Poblenou",4893,"Usat"
"2019","2","10","Sant Martí","68","el Poblenou",4435,"Usat"
"2019","2","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",7084,"Usat"
"2019","2","10","Sant Martí","70","el Besòs i el Maresme",3291,"Usat"
"2019","2","10","Sant Martí","71","Provençals del Poblenou",3997,"Usat"
"2019","2","10","Sant Martí","72","Sant Martí de Provençals",3408,"Usat"
"2019","2","10","Sant Martí","73","la Verneda i la Pau",2500,"Usat"
"2019","3","1","Ciutat Vella","1","el Raval",3390,"Total"
"2019","3","1","Ciutat Vella","2","el Barri Gòtic",4517,"Total"
"2019","3","1","Ciutat Vella","3","la Barceloneta",4844,"Total"
"2019","3","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",4636,"Total"
"2019","3","2","Eixample","5","el Fort Pienc",3704,"Total"
"2019","3","2","Eixample","6","la Sagrada Família",3665,"Total"
"2019","3","2","Eixample","7","la Dreta de l'Eixample",5128,"Total"
"2019","3","2","Eixample","8","l'Antiga Esquerra de l'Eixample",4974,"Total"
"2019","3","2","Eixample","9","la Nova Esquerra de l'Eixample",4279,"Total"
"2019","3","2","Eixample","10","Sant Antoni",4038,"Total"
"2019","3","3","Sants-Montjuïc","11","el Poble Sec",3946,"Total"
"2019","3","3","Sants-Montjuïc","12","la Marina del Prat Vermell",1920,"Total"
"2019","3","3","Sants-Montjuïc","13","la Marina de Port",3209,"Total"
"2019","3","3","Sants-Montjuïc","14","la Font de la Guatlla",3974,"Total"
"2019","3","3","Sants-Montjuïc","15","Hostafrancs",4642,"Total"
"2019","3","3","Sants-Montjuïc","16","la Bordeta",3448,"Total"
"2019","3","3","Sants-Montjuïc","17","Sants - Badal",4340,"Total"
"2019","3","3","Sants-Montjuïc","18","Sants",3773,"Total"
"2019","3","4","Les Corts","19","les Corts",4375,"Total"
"2019","3","4","Les Corts","20","la Maternitat i Sant Ramon",4154,"Total"
"2019","3","4","Les Corts","21","Pedralbes",6260,"Total"
"2019","3","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",4371,"Total"
"2019","3","5","Sarrià-Sant Gervasi","23","Sarrià",5397,"Total"
"2019","3","5","Sarrià-Sant Gervasi","24","les Tres Torres",5700,"Total"
"2019","3","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",6111,"Total"
"2019","3","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",5924,"Total"
"2019","3","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",4561,"Total"
"2019","3","6","Gràcia","28","Vallcarca i els Penitents",3904,"Total"
"2019","3","6","Gràcia","29","el Coll",2975,"Total"
"2019","3","6","Gràcia","30","la Salut",5101,"Total"
"2019","3","6","Gràcia","31","la Vila de Gràcia",5240,"Total"
"2019","3","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",4647,"Total"
"2019","3","7","Horta-Guinardó","33","el Baix Guinardó",4556,"Total"
"2019","3","7","Horta-Guinardó","34","Can Baró",2770,"Total"
"2019","3","7","Horta-Guinardó","35","el Guinardó",3400,"Total"
"2019","3","7","Horta-Guinardó","36","la Font d'en Fargues",4646,"Total"
"2019","3","7","Horta-Guinardó","37","el Carmel",2305,"Total"
"2019","3","7","Horta-Guinardó","38","la Teixonera",2410,"Total"
"2019","3","7","Horta-Guinardó","39","Sant Genís dels Agudells",2233,"Total"
"2019","3","7","Horta-Guinardó","40","Montbau",2862,"Total"
"2019","3","7","Horta-Guinardó","41","la Vall d'Hebron",3378,"Total"
"2019","3","7","Horta-Guinardó","43","Horta",3260,"Total"
"2019","3","8","Nou Barris","44","Vilapicina i la Torre Llobeta",3043,"Total"
"2019","3","8","Nou Barris","45","Porta",2960,"Total"
"2019","3","8","Nou Barris","46","el Turó de la Peira",2528,"Total"
"2019","3","8","Nou Barris","48","la Guineueta",3483,"Total"
"2019","3","8","Nou Barris","49","Canyelles",2464,"Total"
"2019","3","8","Nou Barris","50","les Roquetes",2634,"Total"
"2019","3","8","Nou Barris","51","Verdun",2338,"Total"
"2019","3","8","Nou Barris","52","la Prosperitat",2770,"Total"
