"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor"
"2019","2","2","Eixample","8","l'Antiga Esquerra de l'Eixample",492
"2019","2","2","Eixample","9","la Nova Esquerra de l'Eixample",299
"2019","2","2","Eixample","10","Sant Antoni",310
"2019","2","3","Sants-Montjuïc","11","el Poble Sec",285
"2019","2","3","Sants-Montjuïc","13","la Marina de Port",182
"2019","2","3","Sants-Montjuïc","14","la Font de la Guatlla",385
"2019","2","3","Sants-Montjuïc","15","Hostafrancs",366
"2019","2","3","Sants-Montjuïc","16","la Bordeta",200
"2019","2","3","Sants-Montjuïc","17","Sants - Badal",245
"2019","2","3","Sants-Montjuïc","18","Sants",273
"2019","2","4","Les Corts","19","les Corts",416
"2019","2","4","Les Corts","20","la Maternitat i Sant Ramon",357
"2019","2","4","Les Corts","21","Pedralbes",1000
"2019","2","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",543
"2019","2","5","Sarrià-Sant Gervasi","23","Sarrià",860
"2019","2","5","Sarrià-Sant Gervasi","24","les Tres Torres",743
"2019","2","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",621
"2019","2","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",762
"2019","2","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",479
"2019","2","6","Gràcia","28","Vallcarca i els Penitents",316
"2019","2","6","Gràcia","29","el Coll",130
"2019","2","6","Gràcia","30","la Salut",362
"2019","2","6","Gràcia","31","la Vila de Gràcia",386
"2019","2","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",384
"2019","2","7","Horta-Guinardó","33","el Baix Guinardó",274
"2019","2","7","Horta-Guinardó","34","Can Baró",208
"2019","2","7","Horta-Guinardó","35","el Guinardó",238
"2019","2","7","Horta-Guinardó","36","la Font d'en Fargues",291
"2019","2","7","Horta-Guinardó","37","el Carmel",149
"2019","2","7","Horta-Guinardó","38","la Teixonera",142
"2019","2","7","Horta-Guinardó","39","Sant Genís dels Agudells",156
"2019","2","7","Horta-Guinardó","40","Montbau",157
"2019","2","7","Horta-Guinardó","41","la Vall d'Hebron",273
"2019","2","7","Horta-Guinardó","43","Horta",207
"2019","2","8","Nou Barris","44","Vilapicina i la Torre Llobeta",182
"2019","2","8","Nou Barris","45","Porta",169
"2019","2","8","Nou Barris","46","el Turó de la Peira",137
"2019","2","8","Nou Barris","48","la Guineueta",204
"2019","2","8","Nou Barris","49","Canyelles",190
"2019","2","8","Nou Barris","50","les Roquetes",120
"2019","2","8","Nou Barris","51","Verdun",127
"2019","2","8","Nou Barris","52","la Prosperitat",124
"2019","2","8","Nou Barris","53","la Trinitat Nova",90
"2019","2","8","Nou Barris","55","Ciutat Meridiana",90
"2019","2","8","Nou Barris","56","Vallbona",99
"2019","2","9","Sant Andreu","57","la Trinitat Vella",237
"2019","2","9","Sant Andreu","59","el Bon Pastor",146
"2019","2","9","Sant Andreu","60","Sant Andreu",210
"2019","2","9","Sant Andreu","61","la Sagrera",293
"2019","2","9","Sant Andreu","62","el Congrés i els Indians",217
"2019","2","9","Sant Andreu","63","Navas",371
"2019","2","10","Sant Martí","64","el Camp de l'Arpa del Clot",309
"2019","2","10","Sant Martí","65","el Clot",383
"2019","2","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",280
